id,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min,injury
923,688,58,58,128,502,4,13,17,54,21,43,120,653,54,5,4,153,153,1,28,71,54,700,0,389,4,6,0,2,7,3,0
924,373,29,29,63,281,3,6,7,24,11,21,65,397,40,4,3,146,146,1,8,42,96,0,0,0,0,0,0,0,0,0,0
925,221,8,8,25,188,1,2,1,19,2,8,69,312,24,3,2,79,79,1,8,64,7,0,0,0,0,0,0,0,0,0,0
926,469,64,64,96,309,4,7,7,24,27,20,83,364,121,5,3,57,57,1,23,17,17,1152,0,355,4,7,0,4,12,3,0
927,559,45,45,120,394,5,8,18,38,22,28,87,469,59,6,4,83,83,1,15,48,20,336,0,234,4,4,0,3,2,3,0
928,641,21,42,103,496,3,2,15,49,26,41,161,708,51,3,3,327,164,1,46,206,75,1584,0,547,3,3,0,5,4,3,0
929,630,49,49,122,459,5,7,21,58,26,33,110,542,60,5,5,109,109,1,33,46,30,1809,0,748,5,7,0,0,6,3,0
930,887,87,87,188,612,6,17,25,60,34,63,137,670,61,6,4,120,120,1,52,41,27,1840,0,269,4,10,0,3,18,3,0
931,243,11,11,28,204,2,3,6,33,4,10,78,352,29,3,2,85,85,1,7,62,16,0,0,0,0,0,0,0,0,0,0
932,1090,100,100,235,755,4,14,25,87,38,62,175,803,803,4,3,146,146,1,47,53,46,3947,22,723,4,9,0,5,17,3,0
933,261,33,33,55,173,5,7,7,24,11,23,44,225,225,3,4,102,102,2,26,49,27,847,22,383,4,4,0,3,4,3,0
934,332,19,19,50,263,2,2,7,25,11,18,93,429,33,4,3,150,150,1,12,118,20,1512,0,1224,3,3,0,0,2,3,0
935,920,70,70,142,708,7,12,20,74,18,46,141,667,67,5,5,155,155,1,18,60,77,843,0,275,3,6,0,4,9,3,0
936,772,31,62,119,591,3,7,15,77,28,38,183,872,436,5,3,381,191,1,39,256,86,7590,72,1599,5,7,0,3,6,3,0
937,630,44,44,130,456,4,8,22,62,14,36,145,623,48,6,4,155,155,1,20,108,27,363,0,137,3,4,0,1,7,3,0
938,664,56,56,126,482,4,6,15,62,24,48,125,617,47,7,4,167,167,1,22,120,25,1654,0,317,3,6,0,3,10,3,0
939,34,1,1,3,30,0,0,1,7,1,0,7,52,52,4,1,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0
940,314,17,17,57,240,6,2,5,21,8,24,60,266,44,4,5,64,64,1,25,14,25,186,0,86,4,5,0,5,6,3,0
941,430,25,25,68,337,3,5,13,43,7,21,110,425,33,4,3,100,100,1,7,77,16,393,0,213,4,5,0,0,3,3,0
942,725,69,69,150,506,6,7,19,53,35,61,104,497,55,6,4,98,98,1,31,28,39,972,0,268,6,11,0,1,10,3,0
943,1093,113,113,213,767,5,17,30,97,35,56,179,929,929,6,4,201,201,1,20,116,65,1551,36,338,4,9,0,3,21,3,0
944,675,47,47,110,518,6,5,9,49,21,47,114,527,59,3,4,118,118,1,27,63,28,838,0,409,4,5,0,3,5,3,0
945,1472,131,131,281,1060,4,13,25,98,36,38,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,705,32,32,118,555,6,6,18,49,9,36,135,483,54,3,4,145,145,1,22,77,46,333,0,333,5,5,0,0,1,0,0
947,445,25,25,71,349,5,4,6,40,11,12,54,298,50,3,3,37,37,0,9,11,17,354,0,202,3,3,0,0,2,0,0
948,495,59,59,102,334,4,17,26,53,8,15,70,433,433,4,3,69,69,0,29,25,15,4218,25,358,6,17,0,2,22,3,0
949,796,46,46,130,620,6,8,9,44,15,36,96,495,71,3,4,75,75,1,9,32,34,650,0,241,4,7,0,3,20,0,0
950,708,39,39,115,554,7,4,6,34,19,32,110,437,36,3,4,85,85,1,27,27,31,441,0,150,4,9,0,1,19,0,0
951,308,34,34,68,206,6,4,3,19,11,14,42,238,40,3,5,39,39,1,12,15,12,344,0,155,5,14,0,2,13,0,0
952,499,38,38,92,369,4,4,16,38,18,21,69,388,35,4,3,55,55,0,29,19,7,1375,0,277,4,5,0,1,17,0,0
953,874,57,57,178,639,3,8,29,72,22,50,131,617,617,4,2,110,110,0,32,39,39,1813,21,308,4,7,0,2,29,3,0
954,348,24,24,71,253,2,2,4,25,10,31,81,372,372,3,3,141,141,1,29,100,12,5368,32,553,4,6,0,1,14,3,0
955,712,54,54,126,532,5,6,13,73,16,40,144,555,555,5,4,94,94,1,21,31,42,1343,25,338,6,16,0,2,20,3,0
956,758,56,56,147,555,3,8,13,65,17,39,131,527,527,4,2,121,121,0,20,61,40,9029,36,618,5,21,0,2,24,3,0
957,822,51,51,148,623,6,5,16,42,20,37,134,601,60,4,4,112,112,1,17,54,41,1299,0,205,4,6,0,2,21,0,0
958,681,39,39,121,521,6,2,14,38,13,33,121,453,453,3,4,99,99,1,16,61,22,1941,21,326,5,10,0,3,18,3,0
959,350,19,19,40,291,3,1,2,23,8,13,66,310,310,4,2,72,72,1,4,49,19,5249,140,1451,5,7,0,2,5,3,0
960,871,65,65,128,678,4,14,12,82,12,37,131,589,589,3,3,106,106,1,31,48,27,3009,21,255,5,23,0,2,27,3,0
961,765,46,46,170,549,4,10,16,48,21,42,116,538,538,3,3,101,101,1,32,36,33,3978,21,379,5,11,0,2,28,3,0
962,529,41,41,92,396,4,4,9,39,13,24,81,470,470,3,4,106,106,1,27,61,18,1884,23,349,5,11,0,3,15,3,0
963,650,46,46,137,467,4,5,11,40,14,40,147,601,46,3,4,114,114,1,27,38,49,550,0,130,5,9,0,2,24,0,0
964,734,71,71,153,510,6,19,32,60,17,39,100,584,34,4,5,105,105,1,19,58,28,1009,0,170,5,13,0,2,23,0,0
965,321,19,19,38,264,4,2,4,25,5,12,52,230,230,3,3,47,47,1,5,31,11,2520,549,1535,4,5,0,3,2,3,0
966,381,22,22,76,283,5,2,12,60,7,21,63,282,141,3,4,66,66,1,20,36,10,2311,0,315,4,6,0,2,11,0,0
967,878,46,46,177,655,6,5,12,61,15,59,126,584,42,4,4,162,162,1,45,76,41,453,0,120,4,12,0,2,32,0,0
968,650,46,46,117,487,6,12,20,45,8,23,94,405,31,4,4,77,77,1,24,28,25,483,0,144,5,11,0,2,14,0,0
969,610,37,37,107,466,5,5,10,42,7,28,126,487,44,3,4,135,135,1,25,85,25,464,0,192,4,6,0,0,11,0,0
970,861,51,51,150,660,4,9,10,67,19,55,185,667,667,4,3,176,176,1,49,105,22,3511,29,456,5,15,0,2,25,3,0
971,332,13,13,54,265,5,1,4,21,8,16,77,288,36,3,4,104,104,2,9,63,32,409,0,230,4,6,0,0,5,0,0
972,580,34,34,114,432,6,2,7,29,15,39,83,385,30,3,4,71,71,1,23,36,12,417,0,163,5,12,0,1,13,0,0
973,687,47,47,123,517,4,13,16,48,11,43,105,497,497,3,3,69,69,0,12,34,23,4512,21,552,6,14,0,2,18,3,0
974,604,31,31,107,466,6,2,8,30,10,30,88,435,36,3,4,59,59,1,13,33,13,544,0,162,5,14,0,2,9,0,0
975,521,68,68,98,355,8,10,14,48,19,24,64,310,155,8,5,95,95,1,52,37,6,569,0,87,6,19,0,2,34,0,0
976,374,15,15,72,287,5,0,5,29,6,26,99,264,132,3,4,138,138,2,36,79,23,1733,0,354,12,22,0,3,9,0,0
977,382,22,22,88,272,5,2,7,42,6,39,66,329,164,4,5,139,139,2,47,77,15,655,0,244,5,23,0,3,12,0,0
978,779,56,56,133,590,5,8,17,68,20,36,104,546,36,6,4,70,70,0,27,16,27,609,0,147,5,9,0,1,24,0,0
979,814,68,68,157,589,7,12,24,72,21,36,106,475,40,5,4,70,70,1,23,21,26,780,0,148,5,11,0,2,26,0,0
980,804,77,77,163,564,4,19,27,87,15,37,127,512,51,5,2,74,74,0,18,32,24,4402,0,452,7,50,0,1,21,0,0
981,749,49,49,125,575,6,9,16,46,11,28,101,499,45,4,4,62,62,1,13,26,23,331,0,134,4,8,0,1,23,0,0
982,684,66,66,119,499,7,10,8,63,24,30,95,453,38,4,5,86,86,1,20,22,44,469,0,126,5,11,0,1,24,0,0
983,575,49,49,110,416,7,6,15,52,15,19,85,414,35,3,5,56,56,1,17,23,16,295,0,142,5,14,0,1,14,0,0
984,774,48,48,126,600,6,6,10,70,30,37,127,542,45,4,4,85,85,1,33,28,24,614,0,128,5,10,0,1,27,0,0
985,380,14,14,82,284,5,0,4,33,8,35,64,265,29,3,3,81,81,1,16,51,14,493,0,273,3,6,0,1,7,0,0
986,582,41,41,100,441,6,7,13,55,9,27,100,475,37,5,5,84,84,1,24,46,14,448,0,132,5,9,0,2,18,0,0
987,725,49,49,115,561,7,14,16,73,9,27,114,441,40,6,5,77,77,1,20,30,27,556,0,160,4,7,0,1,18,0,0
988,385,21,21,57,307,6,5,7,32,7,13,69,220,31,3,4,66,66,1,17,29,20,447,0,292,6,8,0,0,5,0,0
989,579,36,36,105,438,6,3,7,51,10,32,91,450,38,5,5,77,77,1,26,25,26,802,0,149,5,13,0,1,17,0,0
990,461,35,35,93,333,5,6,10,25,9,25,81,366,33,4,4,44,44,0,12,16,16,390,0,144,4,6,0,2,12,0,0
991,344,22,22,61,261,5,1,6,15,6,17,69,306,44,3,4,49,49,1,9,31,9,464,0,201,4,8,0,1,11,0,0
992,589,46,46,111,432,5,6,13,35,19,31,94,497,45,3,5,69,69,1,27,22,20,344,0,120,4,7,0,1,22,0,0
993,535,43,43,74,418,8,13,9,34,9,18,86,322,40,3,5,68,68,1,12,25,31,460,0,154,4,9,0,0,17,0,0
994,492,31,31,106,355,5,2,3,29,10,31,79,443,49,4,5,52,52,1,14,23,15,489,0,200,4,7,0,2,15,0,0
995,629,41,41,112,476,6,14,12,44,10,29,116,509,85,4,5,72,72,1,27,30,15,620,0,216,4,8,0,1,20,0,0
996,583,44,44,99,440,5,9,10,43,17,34,121,508,36,4,5,95,95,1,24,57,14,961,0,189,4,6,0,1,16,0,0
997,610,48,48,130,432,6,8,9,46,17,34,78,408,27,3,4,70,70,1,23,21,26,547,0,153,4,7,0,1,24,0,0
998,378,31,31,77,270,3,5,8,43,7,27,57,357,357,4,3,31,31,0,12,12,7,4685,24,471,5,8,0,3,13,3,0
999,706,56,56,149,501,6,9,11,35,16,37,129,484,40,3,4,63,63,1,15,16,32,399,0,147,4,6,0,1,23,0,0
1000,387,35,35,71,281,1,7,7,37,6,15,60,403,403,4,1,57,57,0,15,25,17,14854,22,1344,4,7,0,2,13,3,0
1001,341,20,20,63,258,3,5,4,29,6,18,58,351,44,5,3,47,47,0,7,14,26,566,0,239,4,9,0,2,7,0,0
1002,767,56,56,149,562,7,8,10,45,18,50,146,527,48,3,4,89,89,1,18,31,40,339,0,136,5,12,0,2,23,0,0
1003,655,42,42,139,474,7,4,12,46,20,39,97,458,42,4,5,99,99,1,27,53,19,527,0,157,4,8,0,1,20,0,0
1004,802,71,71,161,570,7,8,12,54,24,53,121,477,40,4,4,106,106,1,24,44,38,332,0,103,4,7,0,1,33,0,0
