Player,Opponent,Date,Start?,min,fgm/a,pct,3fg/a,pct,ftm/a,pct,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg,,,,,,,,,,
Dererk Pardon,Wisconsin,2/22/2018,Yes,36,2-4,0.50,0-0,0.00,6-7,0.86,4,5,9,7,2,0,0,0,1,10,11,,,,,,,,,,
Dererk Pardon,Iowa,2/25/2018,Yes,34,3-8,0.38,0-0,0.00,0-1,0.00,4,5,9,7,3,4,1,1,0,6,11,,,,,,,,,,
Dererk Pardon,Penn State,3/1/2018,Yes,37,6-11,0.55,0-0,0.00,2-3,0.67,3,5,8,7,2,1,1,0,1,14,11,,,,,,,,,,
Dererk Pardon,Total,NULL,NULL,993,143-231,0.62,0-1,0.00,75-122,0.62,106,121,227,7,93,38,45,56,18,361,11,,,,,,,,,,
Charlie Hall,Sacred Heart,11/24/2017,NULL,1,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Charlie Hall,Chicago State,12/11/2017,NULL,3,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Charlie Hall,Valparaiso,12/14/2017,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Charlie Hall,Lewis,12/19/2017,NULL,4,0-1,0.00,0-1,0.00,1-3,0.33,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,
Charlie Hall,Total,NULL,NULL,12,0-2,0.00,0-2,0.00,1-3,0.33,0,1,1,0,0,0,0,2,0,1,0,,,,,,,,,,
Anthony Gaines,Loyola (Md.),11/10/2017,NULL,12,0-2,0.00,0-0,0.00,2-2,1.00,0,1,1,1,4,1,3,0,0,2,2,,,,,,,,,,
Anthony Gaines,Saint Peter's,11/13/2017,NULL,15,2-4,0.50,1-1,1.00,0-0,0.00,0,1,1,1,2,0,3,0,0,5,4,,,,,,,,,,
Anthony Gaines,Creighton,11/15/2017,NULL,22,0-3,0.00,0-1,0.00,1-2,0.50,1,3,4,2,1,4,0,0,0,1,3,,,,,,,,,,
Anthony Gaines,La Salle,11/18/2017,NULL,12,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,2,1,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Texas Tech,11/19/2017,NULL,13,0-3,0.00,0-1,0.00,2-2,1.00,0,1,1,1,0,1,1,0,0,2,2,,,,,,,,,,
Anthony Gaines,Sacred Heart,11/24/2017,NULL,12,1-2,0.50,0-1,0.00,4-4,1.00,1,0,1,1,0,0,0,0,1,6,3,,,,,,,,,,
Anthony Gaines,Georgia Tech,11/28/2017,NULL,4,0-2,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,
Anthony Gaines,Illinois,12/1/2017,NULL,6,0-0,0.00,0-0,0.00,0-0,0.00,1,1,2,1,2,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Purdue,12/3/2017,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,1,0,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Chicago State,12/11/2017,NULL,25,4-5,0.80,0-0,0.00,3-5,0.60,1,4,5,2,1,0,0,0,2,11,3,,,,,,,,,,
Anthony Gaines,Valparaiso,12/14/2017,NULL,22,2-4,0.50,0-0,0.00,2-2,1.00,0,2,2,2,2,2,1,1,2,6,3,,,,,,,,,,
Anthony Gaines,DePaul,12/16/2017,NULL,24,0-2,0.00,0-1,0.00,2-2,1.00,1,6,7,2,5,0,2,0,0,2,3,,,,,,,,,,
Anthony Gaines,Lewis,12/19/2017,NULL,24,2-7,0.29,0-3,0.00,4-6,0.67,4,2,6,2,1,2,1,0,0,8,3,,,,,,,,,,
Anthony Gaines,Oklahoma,12/22/2017,NULL,18,2-4,0.50,0-1,0.00,0-0,0.00,1,4,5,3,1,1,1,0,0,4,3,,,,,,,,,,
Anthony Gaines,Brown,12/30/2017,NULL,22,5-11,0.46,0-2,0.00,1-1,1.00,3,2,5,3,1,2,1,0,2,11,4,,,,,,,,,,
Anthony Gaines,Nebraska,1/2/2018,NULL,13,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,3,1,0,0,1,0,0,4,,,,,,,,,,
Anthony Gaines,Penn State,1/5/2018,NULL,13,2-4,0.50,0-1,0.00,1-1,1.00,0,0,0,3,1,0,0,0,0,5,4,,,,,,,,,,
Anthony Gaines,Minnesota,1/10/2018,NULL,17,0-2,0.00,0-0,0.00,3-4,0.75,3,3,6,3,2,2,2,0,2,3,4,,,,,,,,,,
Anthony Gaines,Indiana,1/14/2018,NULL,14,0-3,0.00,0-0,0.00,0-0,0.00,0,0,0,3,3,0,0,0,0,0,4,,,,,,,,,,
Anthony Gaines,Ohio State,1/17/2018,NULL,20,3-5,0.60,2-4,0.50,2-4,0.50,0,0,0,2,1,1,0,0,3,10,4,,,,,,,,,,
Anthony Gaines,Penn State,1/20/2018,NULL,26,2-4,0.50,0-0,0.00,2-2,1.00,2,1,3,2,4,2,1,1,1,6,4,,,,,,,,,,
Anthony Gaines,Minnesota,1/23/2018,NULL,15,0-2,0.00,0-0,0.00,0-0,0.00,0,2,2,2,2,1,2,0,0,0,4,,,,,,,,,,
