id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,average_duration,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/17/2016,4,914,87,87,167,660,8,14,12,75,27,34,107,0:10:02,692,58,8,6,137,137,1,26,70,41,362,0,89,0:00:00,0:00:00,0,5,15,0,1,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/18/2016,4,1199,100,100,234,865,8,10,22,82,27,56,175,0:08:50,746,47,5,5,99,99,1,44,22,33,265,0,97,0:00:00,0:00:00,0,5,11,0,1,44,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/20/2016,4,1230,104,104,222,904,9,18,13,94,28,57,165,0:06:54,817,43,5,6,205,205,2,36,126,43,617,0,96,0:00:00,0:00:00,0,5,13,0,2,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/21/2016,4,1104,61,61,176,867,9,21,53,151,6,22,96,0:07:36,792,47,4,6,188,188,1,88,71,29,395,0,87,0:00:00,0:00:00,0,5,11,0,2,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/22/2016,4,953,76,76,164,713,8,9,31,88,23,33,155,0:16:56,774,111,6,7,137,137,1,41,80,16,1160,0,157,0:00:00,0:00:00,0,6,18,0,3,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/24/2016,4,2483,109,218,517,1748,7,33,40,224,53,120,347,0:28:03,1784,137,9,5,390,195,1,81,257,52,1650,0,116,0:00:00,0:00:00,0,6,13,0,2,97,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/25/2016,4,1077,70,70,182,825,7,10,24,106,23,36,155,0:09:57,814,54,4,5,153,153,1,77,38,38,653,0,165,0:00:00,0:00:00,0,4,9,0,2,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/27/2016,4,1207,75,75,208,924,9,14,22,109,27,51,159,0:09:52,702,54,5,5,160,160,1,44,89,27,1287,0,156,0:00:00,0:00:00,0,5,12,0,2,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/28/2016,4,880,49,49,134,697,6,1,9,68,16,32,120,0:10:44,697,54,4,5,144,144,1,55,70,19,1292,0,196,0:00:00,0:00:00,0,4,8,0,1,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/29/2016,4,1581,115,115,303,1163,8,10,43,112,43,73,202,0:26:18,992,124,5,5,135,135,1,50,40,45,696,0,194,0:00:00,0:00:00,0,6,16,0,2,48,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/31/2016,4,1016,83,83,172,761,8,17,24,80,24,46,120,0:08:32,714,51,5,6,168,168,1,100,26,42,437,0,110,0:00:00,0:00:00,0,6,46,0,3,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/1/2016,4,1071,74,74,200,797,9,4,17,79,24,48,138,0:08:39,719,51,7,6,123,123,1,43,39,41,439,0,133,0:00:00,0:00:00,0,5,9,0,2,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/2/2016,4,1340,108,108,228,1004,9,24,28,136,36,66,195,0:10:58,894,64,4,6,185,185,1,118,44,23,554,0,96,0:00:00,0:00:00,0,6,39,0,2,55,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/3/2016,4,799,36,36,136,627,6,5,12,71,15,52,123,0:08:21,667,39,4,5,161,161,1,95,49,17,502,0,106,0:00:00,0:00:00,0,4,10,0,3,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/4/2016,4,1134,95,95,200,839,8,16,22,76,33,50,171,0:11:18,859,66,5,6,147,147,1,82,27,38,1081,0,195,0:00:00,0:00:00,0,8,22,0,1,31,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/7/2016,4,1176,86,86,232,858,11,9,29,108,21,52,184,0:07:57,846,60,5,8,206,206,2,67,109,30,688,0,104,0:00:00,0:00:00,0,5,22,0,2,39,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/8/2016,4,1325,69,69,211,1045,8,7,14,55,16,44,132,0:16:48,765,77,4,5,129,129,1,12,69,48,440,0,157,0:00:00,0:00:00,0,5,9,0,2,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/9/2016,4,1268,77,77,231,960,9,19,30,96,22,38,170,0:09:46,821,55,5,6,114,114,1,43,33,38,1633,0,169,0:00:00,0:00:00,0,5,11,0,1,36,0
