id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/20/16,4,216,216,1.30121,159,38,19
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/21/16,4,180,180,1.5769,64,102,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/22/16,4,226,226,1.26967,140,50,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/25/16,4,199,199,1.30399,100,76,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/26/16,4,288,144,1.83622,188,67,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/27/16,4,139,139,0.76796,55,60,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/28/16,4,80,80,0.64031,37,29,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/29/16,4,136,136,1.12981,40,74,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/30/16,4,373,186.5,1.62408,207,129,37
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/1/17,4,131,131,1.37589,66,41,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/2/17,4,198,198,1.17484,113,54,31
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/3/17,4,173,173,1.13271,90,60,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/4/17,4,172,172,1.21193,76,59,37
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/5/17,4,160,160,0.98766,74,59,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/7/17,4,209,209,2.67952,168,31,10
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/8/17,4,153,153,0.92728,80,47,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/10/17,4,143,143,1.34117,51,68,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/11/17,4,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/12/17,4,343,171.5,1.48657,198,103,42
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/14/17,4,105,105,0.84087,43,47,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/15/17,4,222,111,0.97095,102,87,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/17/17,4,108,108,0.89335,51,25,32
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/18/17,4,131,131,0.89762,76,15,40
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/20/17,4,86,86,0.51779,45,24,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/21/17,4,89,89,0.63879,42,30,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/22/17,4,146,146,0.84393,57,64,25
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/24/17,4,159,159,1.14204,107,37,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/25/17,4,180,180,1.20226,126,28,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/26/17,4,220,220,1.24294,139,50,31
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/28/17,4,182,182,1.37195,97,68,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/29/17,4,196,196,1.1462,97,67,32
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/31/17,4,260,260,2.00986,176,65,19
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/1/17,4,305,152.5,3.0089,217,80,8
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/3/17,4,168,168,1.59896,110,47,11
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/4/17,4,185,185,1.40859,132,32,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/5/17,4,244,244,1.78873,174,51,19
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/6/17,4,114,114,1.19477,83,16,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/7/17,4,280,280,1.58193,198,36,46
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/8/17,4,207,207,3.57449,179,19,9
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/10/17,4,30,30,0.34913,10,9,11
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/11/17,4,109,109,0.75965,59,27,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/12/17,4,178,178,1.14103,113,29,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/15/17,4,221,221,1.24158,106,77,38
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/17/17,4,119,119,0.95321,91,19,9
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/18/17,4,110,110,0.64643,41,32,37
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/20/17,4,175,175,1.36364,93,64,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/21/17,4,311,155.5,1.38223,77,207,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/23/17,4,213,213,1.46948,81,106,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/24/17,4,135,135,1.22177,107,11,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/25/17,4,386,193,1.70483,199,135,52
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/27/17,4,155,155,1.04617,96,31,28
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/28/17,4,177,177,1.21442,129,36,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/1/17,4,234,234,1.36047,133,64,37
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/3/17,4,156,156,1.1584,89,40,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/4/17,4,156,156,1.31921,117,25,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/5/17,4,222,222,1.30117,125,65,32
