id,date,jersey,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/11/16,4,1121,0,178.72973,0:00:00,0:00:00,18,5.48649,18,0,2.0936,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/12/16,4,0,0,0,0:00:00,0:00:00,0,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/13/16,4,837,0,148.89286,0:00:00,0:00:00,20,4.21429,9,0,1.11864,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/14/16,4,1086,21,198.55882,0:00:00,0:00:00,19,6.88235,41,0,2.47436,34,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/15/16,4,605,22,151.73913,0:00:00,0:00:00,18,7.43478,47,0,1.84211,23,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/16/16,4,1218,0,161.42857,0:00:00,0:00:00,20,5.30612,14,0,2.21923,49,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/19/16,4,936,0,196.96429,0:00:00,0:00:00,20,4.35714,10,0,2.37705,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/20/16,4,553,0,150.5,0:00:00,0:00:00,20,4.26471,9,0,2.55862,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/21/16,4,679,0,130.20588,0:00:00,0:00:00,20,5,13,0,2.08235,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/22/16,4,878,0,151.94737,0:00:00,0:00:00,20,6.23684,19,0,2.35021,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/24/16,4,547,0,113.04166,0:00:00,0:00:00,20,4.875,8,0,1.53846,24,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/25/16,4,1129,0,172.44444,0:00:00,0:00:00,20,6.86111,31,0,3.31579,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/27/16,4,622,0,178.32,0:00:00,0:00:00,20,3.8,7,0,1.95789,25,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/28/16,4,1036,0,178.65,0:00:00,0:00:00,20,6.65,37,0,3.28195,40,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/30/16,4,609,0,138.96552,0:00:00,0:00:00,20,5.68966,28,0,3.42424,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/1/16,4,352,0,133.28571,0:00:00,0:00:00,20,3.82143,8,0,1.41121,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/2/16,4,722,0,192.61905,0:00:00,0:00:00,20,5.38095,27,0,1.20354,21,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/3/16,4,1055,0,162.21951,0:00:00,0:00:00,19,7.65854,42,0,2.34713,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/6/16,4,1640,0,161.125,0:00:00,0:00:00,20,5.66667,16,0,3.44853,24,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/7/16,4,805,0,110,0:00:00,0:00:00,20,7.56,37,0,4.74603,25,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/9/16,4,1163,0,121.57143,0:00:00,0:00:00,20,5.42857,32,0,3.47368,42,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/10/16,4,1810,0,207.36842,0:00:00,0:00:00,18,5.89474,26,0,1.04464,19,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/11/16,4,1166,0,208.2,0:00:00,0:00:00,20,7.63333,44,0,3.53275,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/13/16,4,282,0,119.2,0:00:00,0:00:00,20,6.2,13,0,2.04032,20,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/14/16,4,840,0,134.56522,0:00:00,0:00:00,20,6.69565,21,0,2.47727,46,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/15/16,4,847,0,374.71429,0:00:00,0:00:00,11,3.42857,5,0,1.54167,7,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/16/16,4,534,0,96.56522,0:00:00,0:00:00,20,4.3913,11,0,1.25743,23,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/17/16,4,1110,0,212.81818,0:00:00,0:00:00,20,6.90909,19,0,3.30263,22,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/19/16,4,420,0,90.06667,0:00:00,0:00:00,19,5.13333,19,0,1.5,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/20/16,4,1184,0,189.75862,0:00:00,0:00:00,20,7.48276,42,0,5.54839,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/21/16,4,1103,0,224.2,0:00:00,0:00:00,20,4.85,12,0,3.63918,20,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/22/16,4,1074,0,206.46875,0:00:00,0:00:00,20,7.46875,57,0,4.159,32,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/25/16,4,736,0,144.45946,0:00:00,0:00:00,20,5.13514,12,0,2.68421,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/26/16,4,461,0,126.7561,0:00:00,0:00:00,20,6.82927,28,0,2.81071,41,0
