id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/27/2016 - Vic Law,4,884,49,49,141,694,5.76459,4,16,66,19,41,145
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/28/2016 - Vic Law,4,1126,74,74,189,863,6.74254,14,23,87,23,57,188
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/30/2016 - Vic Law,4,867,56,56,134,677,8.00135,4,7,60,20,46,137
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/01/2016 - Vic Law,4,929,43,43,161,725,7.49938,7,21,68,15,42,133
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/02/2016 - Vic Law,4,820,41,41,135,644,7.38274,6,11,60,20,42,129
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/03/2016 - Vic Law,4,1204,83,83,220,901,6.88008,8,27,92,28,73,199
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/06/2016 - Vic Law,4,932,47,47,158,727,7.32002,13,16,84,8,41,136
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/07/2016 - Vic Law,4,652,35,35,113,504,6.11565,4,17,65,13,32,128
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/09/2016 - Vic Law,4,1053,61,61,163,829,7.05955,12,19,90,19,45,162
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/10/2016 - Vic Law,4,762,39,39,108,615,5.99351,6,7,56,13,40,111
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/11/2016 - Vic Law,4,1111,54,54,204,853,6.46621,6,17,80,15,76,183
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/13/2016 - Vic Law,4,876,61,61,157,658,6.89719,9,18,71,22,37,156
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/14/2016 - Vic Law,4,1311,106,106,236,969,7.75742,13,25,120,38,81,218
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/15/2016 - Vic Law,4,489,21,21,76,392,4.19561,5,8,41,8,35,100
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/16/2016 - Vic Law,4,724,50,50,119,555,7.91692,6,13,44,24,28,117
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/17/2016 - Vic Law,4,687,15,30,113,544,4.61077,6,17,66,15,44,131
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/19/2016 - Vic Law,4,918,56,56,168,694,7.73949,4,9,74,25,48,140
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/20/2016 - Vic Law,4,875,41,41,169,665,5.2711,4,8,56,14,49,169
