id,date,total_player_load
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/1/16,579.60807
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/2/16,609.12434
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/3/16,513.12608
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/4/16,691.07211
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/7/16,613.81781
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/8/16,607.52326
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/9/16,729.51375
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/11/16,701.73574
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/13/16,455.90813
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/15/16,306.29329
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/16/16,852.22598
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/19/16,523.92778
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/20/16,593.15024
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/21/16,512.28303
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/22/16,750.17208
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/24/16,470.24839
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/27/16,541.74623
2af37014-378f-4f0b-a1f4-111cd6c2d419,11/28/16,566.35107
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/20/16,285.10538
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/21/16,84.97834
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/22/16,243.526
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/25/16,129.83026
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/26/16,195.17742
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/28/16,337.62788
2af37014-378f-4f0b-a1f4-111cd6c2d419,12/30/16,222.2331
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/1/17,435.6529
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/2/17,754.40297
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/3/17,640.78376
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/4/17,519.94444
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/7/17,359.6733
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/8/17,850.92583
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/10/17,513.76272
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/11/17,564.72979
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/12/17,1152.36618
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/14/17,482.58981
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/15/17,208.46394
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/17/17,545.79221
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/18/17,598.7751
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/20/17,619.59647
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/21/17,477.39539
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/22/17,888.34012
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/24/17,567.02879
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/25/17,543.18413
