Player,Player_ID,Opponent,Date,Start?,min,FGM,FGA,pct,3FG,3FGA,pct,FTM,FTA,pct,combo_shots_made,combo_shots_attempt,combo_shots_percent,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg
Charlie Hall,1e70319e-9b7d-4a9e-b8e5-512290a6b251,Chicago State,12/11/2017,NULL,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Charlie Hall,1e70319e-9b7d-4a9e-b8e5-512290a6b251,Valparaiso,12/14/2017,NULL,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Charlie Hall,1e70319e-9b7d-4a9e-b8e5-512290a6b251,Lewis,12/19/2017,NULL,4.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,3.00,0.33,1.00,5.00,0.20,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Charlie Hall,1e70319e-9b7d-4a9e-b8e5-512290a6b251,Total,NULL,NULL,12.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,3.00,0.33,1.00,7.00,0.14,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Loyola (Md.),11/10/2017,NULL,12.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,2.00,4.00,0.50,0.00,1.00,1.00,1.00,4.00,1.00,3.00,0.00,0.00,2.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Saint Peter's,11/13/2017,NULL,15.00,2.00,4.00,0.50,1.00,1.00,1.00,0.00,0.00,0.00,3.00,5.00,0.60,0.00,1.00,1.00,1.00,2.00,0.00,3.00,0.00,0.00,5.00,4.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Creighton,11/15/2017,NULL,22.00,0.00,3.00,0.00,0.00,1.00,0.00,1.00,2.00,0.50,1.00,6.00,0.17,1.00,3.00,4.00,2.00,1.00,4.00,0.00,0.00,0.00,1.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,La Salle,11/18/2017,NULL,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Texas Tech,11/19/2017,NULL,13.00,0.00,3.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00,2.00,6.00,0.33,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,2.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Sacred Heart,11/24/2017,NULL,12.00,1.00,2.00,0.50,0.00,1.00,0.00,4.00,4.00,1.00,5.00,7.00,0.71,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,6.00,3.00
