Player_ID,Opponent,Date,Start?,min,FGM,FGA,pct,3FG,3FGA,pct,FTM,FTA,pct,combo_shots_made,combo_shots_attempt,combo_shots_percent,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg
f7964398-11c7-4287-9578-2698d6240e00,La Salle,11/18/17,NULL,12,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,2,1,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Texas Tech,11/19/17,NULL,13,0,3,0,0,1,0,2,2,1,2,6,0.33,0,1,1,1,0,1,1,0,0,2,2
f7964398-11c7-4287-9578-2698d6240e00,Sacred Heart,11/24/17,NULL,12,1,2,0.5,0,1,0,4,4,1,5,7,0.71,1,0,1,1,0,0,0,0,1,6,3
f7964398-11c7-4287-9578-2698d6240e00,Georgia Tech,11/28/17,NULL,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2
f7964398-11c7-4287-9578-2698d6240e00,Illinois,12/1/17,NULL,6,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,2,1,2,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Purdue,12/3/17,NULL,4,0,0,0,0,0,0,0,0,0,0,0,NULL,0,1,1,1,0,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Chicago State,12/11/17,NULL,25,4,5,0.8,0,0,0,3,5,0.6,7,10,0.7,1,4,5,2,1,0,0,0,2,11,3
f7964398-11c7-4287-9578-2698d6240e00,Valparaiso,12/14/17,NULL,22,2,4,0.5,0,0,0,2,2,1,4,6,0.67,0,2,2,2,2,2,1,1,2,6,3
f7964398-11c7-4287-9578-2698d6240e00,DePaul,12/16/17,NULL,24,0,2,0,0,1,0,2,2,1,2,5,0.4,1,6,7,2,5,0,2,0,0,2,3
f7964398-11c7-4287-9578-2698d6240e00,Lewis,12/19/17,NULL,24,2,7,0.29,0,3,0,4,6,0.67,6,16,0.38,4,2,6,2,1,2,1,0,0,8,3
f7964398-11c7-4287-9578-2698d6240e00,Oklahoma,12/22/17,NULL,18,2,4,0.5,0,1,0,0,0,0,2,5,0.4,1,4,5,3,1,1,1,0,0,4,3
f7964398-11c7-4287-9578-2698d6240e00,Brown,12/30/17,NULL,22,5,11,0.46,0,2,0,1,1,1,6,14,0.43,3,2,5,3,1,2,1,0,2,11,4
f7964398-11c7-4287-9578-2698d6240e00,Nebraska,1/2/18,NULL,13,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,3,1,0,0,1,0,0,4
f7964398-11c7-4287-9578-2698d6240e00,Penn State,1/5/18,NULL,13,2,4,0.5,0,1,0,1,1,1,3,6,0.5,0,0,0,3,1,0,0,0,0,5,4
f7964398-11c7-4287-9578-2698d6240e00,Minnesota,1/10/18,NULL,17,0,2,0,0,0,0,3,4,0.75,3,6,0.5,3,3,6,3,2,2,2,0,2,3,4
