period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
In Season,2016-17,12/11/2016,New Orleans,Win,W83-49,83,6786.17031,6786.17031
In Season,2016-17,12/13/2016,null,null,null,null,5558.14677,null
In Season,2016-17,12/14/2016,Chicago State,Win,W68-64,68,6910.53236,6910.53236
In Season,2016-17,12/15/2016,null,null,null,null,4322.75549,null
In Season,2016-17,12/16/2016,null,null,null,null,4680.02429,null
In Season,2016-17,12/17/2016,Dayton,Win,W67-64,67,9749.89591,9749.89591
In Season,2016-17,12/19/2016,null,null,null,null,5346.78741,null
In Season,2016-17,12/20/2016,IUPUI,Win,W87-65,87,6310.28384,6310.28384
In Season,2016-17,12/21/2016,null,null,null,null,4174.54858,null
In Season,2016-17,12/22/2016,Houston Baptist,Win,W72-63,72,7482.31048,7482.31048
In Season,2016-17,12/25/2016,null,null,null,null,6843.70323,null
In Season,2016-17,12/26/2016,null,null,null,null,6814.90798,null
In Season,2016-17,12/27/2016,Penn State,Win,W87-77,87,6926.8765,6926.8765
In Season,2016-17,12/28/2016,null,null,null,null,3509.61358,null
In Season,2016-17,12/29/2016,null,null,null,null,4948.44531,null
In Season,2016-17,12/30/2016,Michigan State,Loss,L61-52,52,9192.11508,9192.11508
In Season,2016-17,1/1/2017,null,null,null,null,4777.47404,null
In Season,2016-17,1/2/2017,null,null,null,null,7518.16318,null
In Season,2016-17,1/3/2017,null,null,null,null,6753.78756,null
In Season,2016-17,1/4/2017,null,null,null,null,6452.48192,null
In Season,2016-17,1/5/2017,Minnesota,Loss,L70-66,66,6271.228,6271.228
In Season,2016-17,1/7/2017,null,null,null,null,7058.41485,null
In Season,2016-17,1/8/2017,Nebraska(1),Win,W74-66,74,6890.2486,7169.016405
In Season,2016-17,1/10/2017,null,null,null,null,5017.22977,null
In Season,2016-17,1/11/2017,null,null,null,null,5113.04196,null
In Season,2016-17,1/12/2017,Rutgers(1),Win,W69-60,69,10416.19101,8227.085927
